8.65,6.21,7.61,5.55,5.32
8.22,5.37,5.55,8.38,6.39
7.5,7.83,5.08,5.04,6.14
7.34,5.68,7.1,7.4,5.16
5.39,6.92,6.0,5.6,5.1
5.51,7.15,5.83,7.6,8.17
5.33,5.75,6.26,5.28,5.98
8.77,5.98,8.95,8.18,6.64
5.43,5.01,6.25,6.92,8.62
8.0,7.77,6.87,6.44,8.83
8.01,5.53,8.29,7.23,8.8
6.67,7.03,6.59,8.13,7.38
6.77,6.04,6.6,7.91,8.86
7.77,6.11,6.77,6.23,6.06
7.85,7.25,6.65,5.35,7.54
6.94,8.39,6.42,6.34,7.69
6.37,8.92,5.85,7.42,8.12
6.17,5.73,8.02,5.36,5.19
6.08,6.55,7.41,5.88,5.87
7.2,5.97,8.17,6.75,7.05
7.07,7.19,6.98,8.89,5.5
8.3,7.37,7.07,8.52,8.3
7.91,5.87,8.09,8.01,5.62
8.39,6.41,8.41,7.64,5.09
6.83,8.18,7.44,6.97,8.88
7.42,5.24,7.2,6.05,8.09
8.06,6.39,5.13,5.67,8.13
5.15,5.41,7.55,6.79,8.66
5.15,5.53,6.18,7.45,6.74
8.43,5.51,7.11,6.49,5.56
5.96,7.83,5.33,8.02,5.57
6.25,5.1,8.22,6.59,5.17
6.66,5.79,7.37,8.1,8.87
7.97,7.97,6.36,8.31,6.98
6.48,6.74,6.35,7.43,5.94
7.8,8.92,5.24,7.07,6.87
5.29,8.18,5.87,6.58,6.68
8.97,6.24,6.29,6.1,5.25
6.56,8.83,6.05,6.5,6.69
6.49,5.25,8.98,7.31,8.18
7.49,5.38,5.67,8.06,8.91
7.88,7.4,6.86,7.04,6.78
6.55,8.25,8.64,5.88,7.13
6.88,8.28,5.07,8.27,6.77
7.94,8.42,8.15,6.03,8.07
6.74,7.03,5.04,7.59,8.84
7.4,7.04,6.05,5.39,8.96
5.5,5.46,6.42,6.78,5.33
7.97,6.86,7.38,8.39,7.5
6.54,6.67,7.55,8.16,8.11
5.89,6.4,5.03,8.31,7.62
7.93,5.24,5.12,7.1,8.22
8.47,7.89,8.72,7.07,8.15
8.2,6.19,5.58,7.41,8.57
5.54,5.86,8.15,6.6,7.2
8.78,8.04,5.48,6.19,8.48
6.71,7.16,6.31,6.69,7.32
6.9,8.44,6.72,7.54,6.17
